,,,,
Navn,Interval,tid,IF,Intervalbeskrivelse
IG: 1x10m,1x10m,10,6.8,"Int. grund.: 1x10m køres som 1 interval af 10 min. kadence 80-100, puls 10-20 slag under AT"
IG: 1x12m,1x12m,12,8.16,"Int. grund.: 1x12m køres som 1 interval af 12 min. kadence 80-100, puls 10-20 slag under AT"
IG: 1x15m,1x15m,15,10.2,"Int. grund.: 1x15m køres som 1 interval af 15 min. kadence 80-100, puls 10-20 slag under AT"
IG: 1x20m,1x20m,20,13.6,"Int. grund.: 1x20m køres som 1 interval af 20 min. kadence 80-100, puls 10-20 slag under AT"
IG: 1x25m,1x25m,25,17,"Int. grund.: 1x25m køres som 1 interval af 25 min. kadence 80-100, puls 10-20 slag under AT"
IG: 1x30m,1x30m,30,20.4,"Int. grund.: 1x30m køres som 1 interval af 30 min. kadence 80-100, puls 10-20 slag under AT"
,,,,
IG: 2x4m,2x4m,8,5.44,"Int. grund.: 2x4m køres som 2 intervaller af 4 min. kadence 80-100, puls 10-20 slag under AT"
IG: 2x5m,2x5m,10,6.8,"Int. grund.: 2x5m køres som 2 intervaller af 5 min. kadence 80-100, puls 10-20 slag under AT"
IG: 2x8m,2x8m,16,10.88,"Int. grund.: 2x8m køres som 2 intervaller af 8 min. kadence 80-100, puls 10-20 slag under AT"
IG: 2x10m,2x10m,20,13.6,"Int. grund.: 2x10m køres som 2 intervaller af 10 min. kadence 80-100, puls 10-20 slag under AT"
IG: 2x12m,2x12m,24,16.32,"Int. grund.: 2x12m køres som 2 intervaller af 12 min. kadence 80-100, puls 10-20 slag under AT"
IG: 2x15m,2x15m,30,20.4,"Int. grund.: 2x15m køres som 2 intervaller af 15 min. kadence 80-100, puls 10-20 slag under AT"
IG: 2x20m,2x20m,40,27.2,"Int. grund.: 2x20m køres som 2 intervaller af 20 min. kadence 80-100, puls 10-20 slag under AT"
IG: 2x25m,2x25m,50,34,"Int. grund.: 2x25m køres som 2 intervaller af 25 min. kadence 80-100, puls 10-20 slag under AT"
IG: 2x30m,2x30m,60,40.8,"Int. grund.: 2x30m køres som 2 intervaller af 30 min. kadence 80-100, puls 10-20 slag under AT"
,,,,
IG: 3x5m,3x5m,15,10.2,"Int. grund.: 3x5m køres som 3 intervaller af 5 min. kadence 80-100, puls 10-20 slag under AT"
IG: 3x8m,3x8m,24,16.32,"Int. grund.: 3x8m køres som 3 intervaller af 8 min. kadence 80-100, puls 10-20 slag under AT"
IG: 3x10m,3x10m,30,20.4,"Int. grund.: 3x10m køres som 3 intervaller af 10 min. kadence 80-100, puls 10-20 slag under AT"
IG: 3x12m,3x12m,36,24.48,"Int. grund.: 3x12m køres som 3 intervaller af 12 min. kadence 80-100, puls 10-20 slag under AT"
IG: 3x15m,3x15m,45,30.6,"Int. grund.: 3x15m køres som 3 intervaller af 15 min. kadence 80-100, puls 10-20 slag under AT"
IG: 3x20m,3x20m,60,40.8,"Int. grund.: 3x20m køres som 3 intervaller af 20 min. kadence 80-100, puls 10-20 slag under AT"
,,,,
,,eks,,
IG: 4+1+4…m,4+1+4…m,1x15,11.1,"Int. grund.: 4+1+4…m, køres som 4 min ca. 15-20 slag under AT + 1 min med øget belastning mod AT-zone + 4 min ca. 15-20 slag under AT.. osv. Tidsperiode for intervalserien er nævnt i ""Andet"""
IG: 3+1+3…m,3+1+3…m,1x12,9.1,"Int. grund.: 3+1+3…m, køres som 3 min ca. 15-20 slag under AT + 1 min med øget belastning mod AT-zone + 3 min ca. 15-20 slag under AT.. osv. Tidsperiode for intervalserien er nævnt i ""Andet"""
,,,,
IG: 1x3(5m+30s),1x3(5m+30s),15_6,22.2,"Int. grund.: 1x3(5m+30s) køres som 1 interval af ialt 16.30m. Der køres 5 min i Int. grund.-zone efterfølgende af 30 sek. power på stigning, derefter 5 min Int. grund.... osv. De 30 sek køres med konstant stigende power."
IG: 1x4(5m+30s),1x4(5m+30s),20_8,29.6,"Int. grund.: 1x4(5m+30s) køres som 1 interval af ialt 22min. Der køres 5 min i Int. grund.-zone efterfølgende af 30 sek. power på stigning, derefter 5 min Int. grund.... osv. De 30 sek køres med konstant stigende power."
,,,,
IG: 2x3(5m+30s),2x3(5m+30s),30_12,44.4,"Int. grund.: 2x3(5m+30s) køres som 2 intervaller af ialt 16.30m. Der køres 5 min i Int. grund.-zone efterfølgende af 30 sek. power på stigning, derefter 5 min Int. grund.... osv. De 30 sek køres med konstant stigende power."
IG: 2x4(5m+30s),2x4(5m+30s),40_16,59.2,"Int. grund.: 2x4(5m+30s) køres som 2 intervaller af ialt 22m. Der køres 5 min i Int. grund.-zone efterfølgende af 30 sek. power på stigning, derefter 5 min Int. grund.... osv. De 30 sek køres med konstant stigende power."
,,,,
IG: 3x3(5m+30s),3x3(5m+30s),45_18,66.6,"Int. grund.: 3x3(5m+30s) køres som 3 intervaller af ialt 16.30m. Der køres 5 min i Int. grund.-zone efterfølgende af 30 sek. power på stigning, derefter 5 min Int. grund.... osv. De 30 sek køres med konstant stigende power."
,,,,
,,,,
IG: 1x3(3m+30s),1x3(3m+30s),15_6,22.2,"Int. grund.: 1x3(3m+30s) køres som 1 interval af ialt 10.30m. Der køres 3 min i Int. grund.-zone efterfølgende af 30 sek. power på stigning, derefter 3 min Int. grund.... osv. De 30 sek køres med konstant stigende power."
IG: 1x4(3m+30s),1x4(3m+30s),20_8,29.6,"Int. grund.: 1x4(3m+30s) køres som 1 interval af ialt 14min. Der køres 3 min i Int. grund.-zone efterfølgende af 30 sek. power på stigning, derefter 3 min Int. grund.... osv. De 30 sek køres med konstant stigende power."
,,,,
IG: 2x3(3m+30s),2x3(3m+30s),30_12,44.4,"Int. grund.: 2x3(3m+30s) køres som 2 intervaller af ialt 10.30m. Der køres 3 min i Int. grund.-zone efterfølgende af 30 sek. power på stigning, derefter 3 min Int. grund.... osv. De 30 sek køres med konstant stigende power."
IG: 2x3(3m+30s),2x3(3m+30s),40_16,59.2,"Int. grund.: 2x4(3m+30s) køres som 2 intervaller af ialt 14m. Der køres 5 min i Int. grund.-zone efterfølgende af 30 sek. power på stigning, derefter 5 min Int. grund.... osv. De 30 sek køres med konstant stigende power."
,,,,
IG: 3x3(3m+30s),3x3(3m+30s),45_18,66.6,"Int. grund.: 3x3(3m+30s) køres som 3  intervaller af ialt 10.30m. Der køres 3 min i Int. grund.-zone efterfølgende af 30 sek. power på stigning, derefter 3 min Int. grund.... osv. De 30 sek køres med konstant stigende power."
,,,,
,,,,
IG: 15x(3+1)m,15x(3+1)m,45,30.6,"Int. grund.: 15x(3+1)m køres som 15 intervaller af 3 min med 1 min pause. kadence 80-100, puls 10-20 slag under AT"
,,,,
,,,,
,,,,
IG: 1x(3-2-1)m ,1x(3-2-1)m ,6,13.6,"Int. grund.: 1x(3-2-1)m løbes som 1 interval á i alt 6 min. (3 minutter 20 pulsslag under AT, 2 min 18 slag under og 1 min. 10 slag under AT. "
IG: 1x(5-3-2)m ,1x(5-3-2)m ,10,6.8,"Int. grund.: 1x(5-3-2)m løbes som 1 interval á i alt 10 min. (5 minutter 20 pulsslag under AT, 3 min 18 slag under og 2 min. 10 slag under AT. "
IG: 1x(10-3-2)m ,1x(10-3-2)m ,15,10.2,"Int. grund.: 1x(10-3-2)m løbes som 1 interval á i alt 15 min. (10 minutter 20 pulsslag under AT, 3 min 18 slag under og 2 min. 10 slag under AT."
IG: 1x(10-8-2)m ,1x(10-8-2)m ,20,13.6,"Int. grund.: 1x(10-8-2)m løbes som 1 interval  á i alt 20 min. (10 minutter 20 pulsslag under AT, 8 min 18 slag under og 2 min. 10 slag under AT. "
,,,,
,,,,
IG: 2x(3-2-1)m ,2x(3-2-1)m ,12,8.16,"Int. grund.: 2x(3-2-1)m løbes som 2 intervaller  á i alt 6 min. (3 minutter 20 pulsslag under AT, 2 min 18 slag under og 1 min. 10 slag under AT. Minimum. 4 min pause mellem de 2 intervalserier"
IG: 2x(5-3-2)m ,2x(5-3-2)m ,20,13.6,"Int. grund.: 2x(5-3-2)m løbes som 2 intervaller  á i alt 10 min. (5 minutter 20 pulsslag under AT, 3 min 18 slag under og 2 min. 10 slag under AT. Minimum. 4 min pause mellem de 2 intervalserier"
IG: 2x(10-3-2)m ,2x(10-3-2)m ,30,20.4,"Int. grund.: 2x(10-3-2)m løbes som 2 intervaller  á i alt 15 min. (10 minutter 20 pulsslag under AT, 3 min 18 slag under og 2 min. 10 slag under AT. Minimum. 4 min pause mellem de 2 intervalserier"
IG: 2x(10-8-2)m ,2x(10-8-2)m ,40,27.2,"Int. grund.: 2x(10-8-2)m løbes som 2 intervaller  á i alt 20 min. (10 minutter 20 pulsslag under AT, 8 min 18 slag under og 2 min. 10 slag under AT. Minimum. 4 min pause mellem de 2 intervalserier"
,,,,
,,,,
IG: 3x(3-2-1)m ,3x(3-2-1)m ,18,12.24,"Int. grund.: 3x(3-2-1)m løbes som 3 intervaller  á i alt 6 min. (3 minutter 20 pulsslag under AT, 2 min 18 slag under og 1 min. 10 slag under AT. Minimum. 4 min pause mellem de 3 intervalserier"
IG: 3x(5-3-2)m ,3x(5-3-2)m ,30,20.4,"Int. grund.: 3x(5-3-2)m løbes som 3 intervaller  á 10 min. (5 minutter 20 pulsslag under AT, 3 min 18 slag under og 2 min. 10 slag under AT. Minimum. 4 min pause mellem de 3 intervalserier"
IG: 3x(10-3-2)m ,3x(10-3-2)m ,45,30.6,"Int. grund.: 3x(10-3-2)m løbes som 3 intervaller  á 15 min. (10 minutter 20 pulsslag under AT, 3 min 18 slag under og 2 min. 10 slag under AT. Minimum. 4 min pause mellem de 3 intervalserier"
,,,,
,,,,
IG: 4x(3-2-1)m ,4x(3-2-1)m ,24,16.32,"Int. grund.: 4x(3-2-1)m løbes som 4 intervaller  á i alt 6 min. (3 minutter 20 pulsslag under AT, 2 min 18 slag under og 1 min. 10 slag under AT. Minimum. 4 min pause mellem de 4 intervalserier"
IG: 4x(8-3-2)m ,4x(8-3-2)m ,52,35.36,"Int. grund.: 4x(8-3-2)m løbes som 4 intervaller  á 13 min. (8 minutter 20 pulsslag under AT, 3 min 18 slag under og 2 min. 10 slag under AT. Minimum. 4 min pause mellem de 4 intervalserier"
,,,,
,,,,
IG: 1x4m ,1x4m ,4,2.72,Int. grund.: 1x4m løbes som ét interval á 4 min. Puls 10-20 slag under AT
IG: 1x5m ,1x5m ,5,3.4,Int. grund.: 1x5m løbes som ét interval á 8 min. Puls 10-20 slag under AT
IG: 1x8m ,1x8m ,8,5.44,Int. grund.: 1x8m løbes som ét interval á 8 min. Puls 10-20 slag under AT
IG: 1x10 m ,1x10 m ,10,6.8,Int. grund.: 1x10m løbes som ét interval á 10 min. Puls 10-20 slag under AT
IG: 1x12m ,1x12m ,12,8.16,Int. grund.: 1x12m løbes som ét interval á 12 min. Puls 10-20 slag under AT
IG: 1x15m ,1x15m ,15,10.2,Int. grund.: 1x15m løbes som ét interval á 15 min. Puls 10-20 slag under AT
IG: 1x20m ,1x20m ,20,13.6,Int. grund.: 1x20m løbes som ét interval á 20 min. Puls 10-20 slag under AT
IG: 1x25m ,1x25m ,25,17,Int. grund.: 1x25m løbes som ét interval á 25 min. Puls 10-20 slag under AT
IG: 1x30m ,1x30m ,30,20.4,Int. grund.: 1x30m løbes som ét interval á 30 min. Puls 10-20 slag under AT
,,,,
IG: 2x4m ,2x4m ,8,5.44,Int. grund.: 2x4m løbes som 2 intervaller á 4 min. Puls 10-20 slag under AT
IG: 2x5m ,2x5m ,10,6.8,Int. grund.: 2x5m løbes som 2 intervaller á 5 min. Puls 10-20 slag under AT
IG: 2x8m ,2x8m ,16,10.88,Int. grund.: 2x8m løbes som 2 intervaller á 8 min. Puls 10-20 slag under AT
IG: 2x10m ,2x10m ,20,13.6,Int. grund.: 2x10m løbes som 2 intervaller á 10 min. Puls 10-20 slag under AT
IG: 2x12m ,2x12m ,24,16.32,Int. grund.: 2x12m løbes som 2 intervaller á 12 min. Puls 10-20 slag under AT
IG: 2x15m ,2x15m ,30,20.4,Int. grund.: 2x15m løbes som 2 intervaller á 15 min. Puls 10-20 slag under AT
IG: 2x20m ,2x20m ,40,27.2,Int. grund.: 2x20m løbes som 2 intervaller á 20 min. Puls 10-20 slag under AT
IG: 2x25m ,2x25m ,50,34,Int. grund.: 2x25m løbes som 2 intervaller á 25 min. Puls 10-20 slag under AT
IG: 2x30m ,2x30m ,60,40.8,Int. grund.: 2x30m løbes som 2 intervaller á 30 min. Puls 10-20 slag under AT
,,,,
IG: 3x5m ,3x5m ,15,10.2,Int. grund.: 3x5m løbes som 3 intervaller á 5 min. Puls 10-20 slag under AT
IG: 3x8m ,3x8m ,24,16.32,Int. grund.: 3x8m løbes som 3 intervaller á 8 min. Puls 10-20 slag under AT
IG: 3x10m ,3x10m ,30,20.4,Int. grund.: 3x10m løbes som 3 intervaller á 10 min. Puls 10-20 slag under AT
IG: 3x12m ,3x12m ,36,24.48,Int. grund.: 3x12m løbes som 3 intervaller á 12 min. Puls 10-20 slag under AT
IG: 3x15m ,3x15m ,45,30.6,Int. grund.: 3x15m løbes som 3 intervaller á 15 min. Puls 10-20 slag under AT
IG: 3x20m ,3x20m ,60,40.8,Int. grund.: 3x20m løbes som 3 intervaller á 20 min. Puls 10-20 slag under AT
,,,,
,,,,
,,,,
IG: 2x(3+1)m ,2x(3+1)m ,6,4.08,Int. grund.: 2x(3+1)m løbes som 1 intervalserie med 2 gentagelser af 3 minutters arbejde og 1 minutters pause. Puls i Int. grund.-zone
IG: 3x(3+1)m ,3x(3+1)m ,9,6.12,Int. grund.: 3x(3+1)m løbes som 1 intervalserie med 3 gentagelser af 3 minutters arbejde og 1 minutters pause. Puls i Int. grund.-zone
IG: 4x(3+1)m ,4x(3+1)m ,12,8.16,Int. grund.: 4x(3+1)m løbes som 1 intervalserie med 4 gentagelser af 3 minutters arbejde og 1 minutters pause. Puls i Int. grund.-zone
IG: 5x(3+1)m ,5x(3+1)m ,15,10.2,Int. grund.: 5x(3+1)m løbes som 1 intervalserie med 5 gentagelser af 3 minutters arbejde og 1 minutters pause. Puls i Int. grund.-zone
,,,,
,,,,
IG: 4+1+4…m ,4+1+4…m ,4_1,3.72,"Int. grund.: 4+1+4…m, løbes som 4 min ca. 10-18 slag under AT + 1 min med øget belastning mod AT-zone + 4 min ca. 10-18 slag under AT.. osv. Tidsperiode for intervalserien er nævnt i ""Andet"""
IG: 3+1+3…m ,3+1+3…m ,3_1,"3, 04","Int. grund.: 3+1+3…m, løbes som 3 min ca. 10-18 slag under AT + 1 min med øget belastning mod AT-zone + 3 min ca. 10-18 slag under AT.. osv. Tidsperiode for intervalserien er nævnt i ""Andet"""
,,,,
IG: 1x3(5m+30s) ,1x3(5m+30s) ,18_6,22.2,"Int. grund.: 1x3(5m+30s) løbes som 1 interval af ialt 16.30m. Der løbes 5 min i Int. grund.-zone efterfølgende af 30 sek. power på stigning, derefter 5 min Int. grund.... osv. De 30 sek løbes med konstant stigende power."
IG: 2x3(5m+30s) ,2x3(5m+30s) ,30_12,44.4,"Int. grund.: 2x3(5m+30s) løbes som 2  intervaller af ialt 16.30m. Der løbes 5 min i Int. grund.-zone efterfølgende af 30 sek. power på stigning, derefter 5 min Int. grund.... osv. De 30 sek løbes med konstant stigende power."
,,,,
,,,,
,Indset ny linje foer denne linje hvis du tilfoejer nye intervaller,,,
,,,,
,Sub-AT,,,
,,,,
,,,0.77,
Sub-AT: 1x(3-2-1)m,1x(3-2-1)m,6,4.62,"Sub-AT: 1x(3-2-1)m køres som 1 interval af i alt 6 min. (3 minutter 10 pulsslag under AT, 2 min 5 slag under og 1 min. 3 slag under AT. "
Sub-AT: 1x(5-3-2)m,1x(5-3-2)m,10,7.7,"Sub-AT: 1x(5-3-2)m køres som 1 interval af i alt 10 min. (5 minutter 10 pulsslag under AT, 3 min 5 slag under og 2 min. 3 slag under AT. "
Sub-AT: 1x(10-3-2)m,1x(10-3-2)m,15,11.55,"Sub-AT: 1x(10-3-2)m køres som 1 interval af i alt 15 min. (10 minutter 10 pulsslag under AT, 3 min 5 slag under og 2 min. 3 slag under AT. "
Sub-AT: 1x(10-5-2)m,1x(10-5-2)m,17,13.09,"Sub-AT: 1x(10-5-2)m køres som 1 interval af i alt 17 min. (10 minutter 10 pulsslag under AT, 5 min 5 slag under og 2 min. 3 slag under AT."
Sub-AT: 1x(15-8-2)m,1x(15-8-2)m,25,19.25,"Sub-AT: 1x(15-8-2)m køres som 1 interval af i alt 25 min. (15 minutter 10 pulsslag under AT, 8 min 5 slag under og 2 min. 3 slag under AT."
,,,,
,,,,
Sub-AT: 2x(3-2-1)m,2x(3-2-1)m,12,9.24,"Sub-AT: 2x(3-2-1)m køres som 2 intervaller af i alt 6 min. (3 minutter 10 pulsslag under AT, 2 min 5 slag under og 1 min. 3 slag under AT. Minimum 4 min pause mellem de 2 intervalserier"
Sub-AT: 2x(5-3-2)m,2x(5-3-2)m,20,15.4,"Sub-AT: 2x(5-3-2)m køres som 2 intervaller  af i alt 10 min. (5 minutter 10 pulsslag under AT, 3 min 5 slag under og 2 min. 3 slag under AT. Minimum 4 min pause mellem de 2 intervalserier"
Sub-AT: 2x(10-3-2)m,2x(10-3-2)m,30,23.1,"Sub-AT: 2x(10-3-2)m køres som 2 intervaller  af i alt 15 min. (10 minutter 10 pulsslag under AT, 3 min 5 slag under og 2 min. 3 slag under AT. Minimum 4 min pause mellem de 2 intervalserier"
Sub-AT: 2x(10-5-2)m,2x(10-5-2)m,34,26.18,"Sub-AT: 2x(10-5-2)m køres som 2 intervaller  af i alt 17 min. (10 minutter 10 pulsslag under AT, 5 min 5 slag under og 2 min. 3 slag under AT. Minimum 4 min pause mellem de 2 intervalserier"
Sub-AT: 2x(15-8-2)m,2x(15-8-2)m,50,38.5,"Sub-AT: 2x(15-8-2)m køres som 2 intervaller  af i alt 25 min. (15 minutter 10 pulsslag under AT, 8 min 5 slag under og 2 min. 3 slag under AT. Minimum 4 min pause mellem de 2 intervalserier"
,,,,
,,,,
Sub-AT: 3x(3-2-1)m,3x(3-2-1)m,18,13.86,"Sub-AT: 3x(3-2-1)m køres som 3 intervaller af i alt 6 min. (3 minutter 10 pulsslag under AT, 2 min 5 slag under og 1 min. 3 slag under AT. Minimum 4 min pause mellem de 2 intervalserier"
Sub-AT: 3x(5-3-2)m,3x(5-3-2)m,30,23.1,"Sub-AT: 3x(5-3-2)m køres som 3 intervaller  af i alt 10 min. (5 minutter 10 pulsslag under AT, 3 min 5 slag under og 2 min. 3 slag under AT. Minimum 4 min pause mellem de 2 intervalserier"
Sub-AT: 3x(10-3-2)m,3x(10-3-2)m,45,34.65,"Sub-AT: 3x(10-3-2)m køres som 3 intervaller  af i alt 15 min. (10 minutter 10 pulsslag under AT, 3 min 5 slag under og 2 min. 3 slag under AT. Minimum 4 min pause mellem de 2 intervalserier"
Sub-AT: 3x(10-5-2)m,3x(10-5-2)m,51,39.27,"Sub-AT: 3x(10-5-2)m køres som 3 intervaller  af i alt 17 min. (10 minutter 10 pulsslag under AT, 5 min 5 slag under og 2 min. 3 slag under AT. Minimum 4 min pause mellem de 2 intervalserier"
Sub-AT: 3x(15-8-2)m,3x(15-8-2)m,75,57.75,"Sub-AT: 3x(15-8-2)m køres som 3 intervaller  af i alt 25 min. (15 minutter 10 pulsslag under AT, 8 min 5 slag under og 2 min. 3 slag under AT. Minimum 4 min pause mellem de 2 intervalserier"
,,,,
Sub-AT: 4x(3-2-1)m,4x(3-2-1)m,24,18.48,"Sub-AT: 4x(3-2-1)m køres som 4 intervaller af i alt 6 min. (3 minutter 10 pulsslag under AT, 2 min 5 slag under og 1 min. 3 slag under AT. Minimum 4 min pause mellem de 2 intervalserier"
Sub-AT: 4x(5-3-2)m,4x(5-3-2)m,40,30.8,"Sub-AT: 4x(5-3-2)m køres som 4 intervaller  af i alt 10 min. (5 minutter 10 pulsslag under AT, 3 min 5 slag under og 2 min. 3 slag under AT. Minimum 4 min pause mellem de 2 intervalserier"
,,,,
,,,,
Sub-AT: 1x2m,1x2m,2,1.54,"Sub-AT: 1x2m køres som 1 interval af 2 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 1x3m,1x3m,3,2.31,"Sub-AT: 1x3m køres som 1 interval af 3 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 1x4m,1x4m,4,3.08,"Sub-AT: 1x4m køres som 1 interval af 4 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 1x5m,1x5m,5,3.85,"Sub-AT: 1x5m køres som 1 interval af 5 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 1x8m,1x8m,8,6.16,"Sub-AT: 1x8m køres som 1 interval af 8 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 1x10m,1x10m,10,7.7,"Sub-AT: 1x10m køres som 1 interval af 10 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 1x12m,1x12m,12,9.24,"Sub-AT: 1x12m køres som 1 interval af 12 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 1x15m,1x15m,15,11.55,"Sub-AT: 1x15m køres som 1 interval af 15 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 1x20m,1x20m,20,15.4,"Sub-AT: 1x20m køres som 1 interval af 20 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 1x25m,1x25m,25,19.25,"Sub-AT: 1x25m køres som 1 interval af 25 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 1x30m,1x30m,30,23.1,"Sub-AT: 1x30m køres som 1 interval af 30 min. kadence 85-100, puls 5-10 slag under AT"
,,,,
Sub-AT: 2x3m,2x3m,6,4.62,"Sub-AT: 2x3m køres som 2 intervaller af 3 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 2x4m,2x4m,8,6.16,"Sub-AT: 2x4m køres som 2 intervaller af 4 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 2x5m,2x5m,10,7.7,"Sub-AT: 2x5m køres som 2 intervaller af 5 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 2x8m,2x8m,16,12.32,"Sub-AT: 2x8m køres som 2 intervaller af 8 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 2x10m,2x10m,20,15.4,"Sub-AT: 2x10m køres som 2 intervaller af 10 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 2x12m,2x12m,24,18.48,"Sub-AT: 2x12m køres som 2 intervaller af 12 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 2x15m,2x15m,30,23.1,"Sub-AT: 2x15m køres som 2 intervaller af 15 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 2x20m,2x20m,40,30.8,"Sub-AT: 2x20m køres som 2 intervaller af 20 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 2x25m,2x25m,50,38.5,"Sub-AT: 2x25m køres som 2 intervaller af 25 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 2x30m,2x30m,60,46.2,"Sub-AT: 2x30m køres som 2 intervaller af 30 min. kadence 85-100, puls 5-10 slag under AT"
,,,,
